u,techniques,items,n_items,ratings,n_ratings
4918,"[1, 0, 0, 1, 2, 0, 1, 0, 0, 3, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[121603, 68803, 171328, 111381, 142915, 134610]",6,"[0.0, 4.0, 5.0, 5.0, 4.0, 5.0]",6
8561,"[9, 1, 0, 4, 5, 0, 0, 1, 0, 7, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 2, 3, 0, 1, 1, 4, 0, 0, 0, 0, 4, 0, 0, 3, 4, 0, 0, 0, 2, 4, 2, 1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 2, 0, 3]","[41508, 117993, 36895, 172169, 31827, 84366, 135145, 54149, 15076, 39308, 168327, 96672, 147424, 58356, 89924, 32114, 37047, 113698, 106973, 99787, 85063, 5289, 107806, 115748]",24,"[4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0]",24
10458,"[5, 0, 0, 4, 2, 0, 0, 0, 0, 5, 0, 2, 0, 0, 1, 0, 3, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]","[118418, 36523, 19316, 124230, 130270, 100453, 24040, 7482, 131277, 56388, 62660, 129885, 51478]",13,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",13
12896,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[11136, 74844, 166730, 105101, 19665, 73843, 51706]",7,"[5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0]",7
3765,"[3, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[163619, 120661, 136244, 89674, 72241, 13322]",6,"[5.0, 5.0, 5.0, 4.0, 5.0, 5.0]",6
706,"[6, 1, 0, 2, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 3, 1, 0, 1, 0, 5, 0, 1, 2, 2, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 3, 0, 2, 1]","[34458, 14123, 9369, 141636, 172451, 90042, 249, 112758, 92295, 101783, 130454, 150104, 81165, 2688, 159353]",15,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0]",15
12586,"[7, 0, 0, 1, 4, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[21039, 26389, 109537, 10637, 166269, 87907, 108522, 39678, 54075, 141051, 143345, 65888, 121602, 166814]",14,"[5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 2.0, 5.0, 5.0]",14
372,"[25, 2, 0, 13, 16, 0, 0, 2, 0, 24, 0, 2, 0, 0, 2, 0, 10, 0, 0, 6, 6, 5, 2, 6, 1, 0, 2, 2, 16, 4, 0, 0, 0, 16, 0, 0, 8, 2, 1, 0, 0, 1, 9, 4, 0, 0, 5, 2, 0, 1, 0, 1, 0, 4, 1, 6, 4, 8]","[150, 153976, 124928, 145305, 79036, 14565, 129214, 79621, 114945, 103767, 131465, 19812, 57401, 62558, 30629, 106686, 88115, 81940, 167968, 118459, 119320, 16870, 156015, 31863, 36831, 164321, 64867, 96470, 113218, 138304, 91478, 25397, 160654, 112191, 701, 7926, 52334, 129505, 81311, 100477, 101819, 129174, 92938, 142558, 103033, 113716, 53049, 17982, 93475, 50275, 50313, 41638, 39011, 36207, 138205, 103476, 67941, 99629, 72619, 117448, 94956, 95965]",62,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 5.0, 2.0, 5.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",62
6677,"[2, 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[166064, 162947, 3600, 139608, 175701]",5,"[5.0, 5.0, 5.0, 5.0, 5.0]",5
23952,"[5, 0, 0, 0, 1, 0, 0, 1, 0, 4, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 3, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[64311, 64261, 165364, 156568, 99301, 175554, 93151, 149880, 127493]",9,"[4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0]",9
4243,"[34, 0, 0, 14, 14, 0, 1, 1, 0, 20, 1, 2, 0, 0, 1, 0, 13, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 14, 2, 0, 0, 0, 21, 1, 1, 4, 3, 2, 0, 1, 2, 8, 5, 2, 1, 7, 1, 0, 0, 0, 1, 0, 8, 1, 1, 3, 4]","[55245, 88070, 147036, 143774, 136497, 70084, 121795, 150666, 52748, 77570, 77737, 119173, 113928, 15861, 52408, 98176, 131713, 101486, 28165, 84663, 149414, 136789, 124744, 63073, 78335, 169901, 51378, 42380, 30415, 16392, 105392, 9903, 85056, 40575, 176014, 105518, 145870, 38248, 108973, 164203, 100525, 39279, 53429, 151452, 157959, 69690, 119805, 38726, 112905, 65591, 1802, 37225, 12858, 78326]",54,"[4.0, 1.0, 2.0, 3.0, 4.0, 1.0, 3.0, 3.0, 4.0, 5.0, 4.0, 4.0, 4.0, 1.0, 4.0, 5.0, 3.0, 5.0, 4.0, 3.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 4.0]",54
